Title,Author,Fandom,Relationship,Date,Word Number,Chapters,Kudos
"Roses are Red, Foreheads are Pretty",pillow forts (pyroooah),Naruto,Haruno Sakura/Uchiha Obito,01 Jun 2018,"1,430",1/1,436
Kindling,Lovestruckay,Naruto,Haruno Sakura/Uchiha Obito,29 Mar 2018,"11,915",1/1,861
Pregnancy Gone Wrong To Right,SweetlySourRoses,Naruto,Hyuuga Hinata/Uchiha Sasuke,13 Jan 2018,7,1/?,20
Red,thekatthatbarks,Naruto,Haruno Sakura/Uchiha Obito,28 Nov 2017,"1,081",1/1,396
Mine Forever,Sithis10756,Naruto,Haruno Sakura/Uchiha Obito,19 Mar 2017,684,1/1,157
In Which Obito and Sakura are Soulmates,phoenixyfriend,Naruto,Haruno Sakura/Uchiha Obito,27 Nov 2016,"2,172",1/1,"1,378"
On the Edge of Oblivion,Amesaya,Naruto,Haruno Sakura/Uchiha Obito,08 Aug 2016,"4,907",1/1,204
Just a little,orphan_account,Naruto,Haruno Sakura/Uchiha Obito,26 Jun 2016,"1,038",1/1,95
"Uchiha Sandwich, With a Side of Madara",greentea815,Naruto,Haruno Sakura/Uchiha Sasuke,23 Apr 2016,"3,190",1/1,674
Sequential,PrinceEverhard,Naruto,Haruno Sakura/Uchiha Obito,30 Jan 2013,"1,001",1/1,118
Kink Meme Prompts,Dreamwrote,Naruto,Haruno Sakura/Uchiha Sasuke,21 May 2010,"6,052",3/?,310
